<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
USDCHF,20010103,00:00:00,1.5989,1.5898,1.6329,1.6315
USDCHF,20010104,00:00:00,1.6315,1.5990,1.6326,1.6026
USDCHF,20010105,00:00:00,1.6026,1.5943,1.6111,1.5976
USDCHF,20010108,00:00:00,1.5976,1.5968,1.6122,1.6090
USDCHF,20010109,00:00:00,1.6090,1.6071,1.6222,1.6135
USDCHF,20010110,00:00:00,1.6135,1.6103,1.6298,1.6290
USDCHF,20010111,00:00:00,1.6290,1.6053,1.6290,1.6120
USDCHF,20010112,00:00:00,1.6120,1.6067,1.6244,1.6184
USDCHF,20010115,00:00:00,1.6167,1.6163,1.6382,1.6340
USDCHF,20010116,00:00:00,1.6341,1.6316,1.6429,1.6325
USDCHF,20010117,00:00:00,1.6325,1.6305,1.6529,1.6424
USDCHF,20010118,00:00:00,1.6424,1.6141,1.6439,1.6206
USDCHF,20010119,00:00:00,1.6206,1.6093,1.6385,1.6364
USDCHF,20010122,00:00:00,1.6370,1.6276,1.6532,1.6309
USDCHF,20010123,00:00:00,1.6309,1.6230,1.6396,1.6390
USDCHF,20010124,00:00:00,1.6390,1.6351,1.6599,1.6549
USDCHF,20010125,00:00:00,1.6549,1.6496,1.6713,1.6518
USDCHF,20010126,00:00:00,1.6518,1.6395,1.6599,1.6510
USDCHF,20010129,00:00:00,1.6530,1.6475,1.6589,1.6567
USDCHF,20010130,00:00:00,1.6567,1.6432,1.6610,1.6457
USDCHF,20010131,00:00:00,1.6457,1.6331,1.6499,1.6331
USDCHF,20010201,00:00:00,1.6331,1.6243,1.6346,1.6330
USDCHF,20010202,00:00:00,1.6336,1.6280,1.6493,1.6439
USDCHF,20010205,00:00:00,1.6441,1.6295,1.6441,1.6383
USDCHF,20010206,00:00:00,1.6383,1.6374,1.6582,1.6531
USDCHF,20010207,00:00:00,1.6531,1.6438,1.6606,1.6543
USDCHF,20010208,00:00:00,1.6543,1.6518,1.6741,1.6706
USDCHF,20010209,00:00:00,1.6706,1.6549,1.6776,1.6591
USDCHF,20010212,00:00:00,1.6586,1.6490,1.6599,1.6516
USDCHF,20010213,00:00:00,1.6516,1.6508,1.6734,1.6682
USDCHF,20010214,00:00:00,1.6682,1.6652,1.6741,1.6702
USDCHF,20010215,00:00:00,1.6702,1.6673,1.6970,1.6916
USDCHF,20010216,00:00:00,1.6916,1.6724,1.6931,1.6766
USDCHF,20010219,00:00:00,1.6812,1.6633,1.6819,1.6684
USDCHF,20010220,00:00:00,1.6684,1.6641,1.6947,1.6854
USDCHF,20010221,00:00:00,1.6854,1.6710,1.6924,1.6847
USDCHF,20010222,00:00:00,1.6847,1.6786,1.6981,1.6944
USDCHF,20010223,00:00:00,1.6944,1.6678,1.6971,1.6743
USDCHF,20010226,00:00:00,1.6738,1.6709,1.6895,1.6873
USDCHF,20010227,00:00:00,1.6873,1.6709,1.6904,1.6744
USDCHF,20010228,00:00:00,1.6744,1.6657,1.6791,1.6689
USDCHF,20010301,00:00:00,1.6691,1.6482,1.6710,1.6507
USDCHF,20010302,00:00:00,1.6507,1.6395,1.6524,1.6460
USDCHF,20010305,00:00:00,1.6419,1.6409,1.6557,1.6554
USDCHF,20010306,00:00:00,1.6554,1.6473,1.6596,1.6484
USDCHF,20010307,00:00:00,1.6484,1.6439,1.6605,1.6565
USDCHF,20010308,00:00:00,1.6565,1.6498,1.6596,1.6513
USDCHF,20010309,00:00:00,1.6513,1.6465,1.6582,1.6523
USDCHF,20010312,00:00:00,1.6536,1.6499,1.6640,1.6558
USDCHF,20010313,00:00:00,1.6558,1.6552,1.6868,1.6828
USDCHF,20010314,00:00:00,1.6829,1.6694,1.6950,1.6872
USDCHF,20010315,00:00:00,1.6872,1.6858,1.7163,1.7128
USDCHF,20010316,00:00:00,1.7128,1.7074,1.7212,1.7110
USDCHF,20010319,00:00:00,1.7099,1.7023,1.7143,1.7049
USDCHF,20010320,00:00:00,1.7049,1.6853,1.7060,1.6858
USDCHF,20010321,00:00:00,1.6859,1.6842,1.7153,1.7102
USDCHF,20010322,00:00:00,1.7102,1.7100,1.7310,1.7249
USDCHF,20010323,00:00:00,1.7249,1.7091,1.7298,1.7217
USDCHF,20010326,00:00:00,1.7196,1.7111,1.7225,1.7135
USDCHF,20010327,00:00:00,1.7135,1.7072,1.7218,1.7174
USDCHF,20010328,00:00:00,1.7174,1.7140,1.7287,1.7263
USDCHF,20010329,00:00:00,1.7262,1.7210,1.7327,1.7266
USDCHF,20010330,00:00:00,1.7266,1.7188,1.7432,1.7403
USDCHF,20010402,00:00:00,1.7454,1.7272,1.7464,1.7350
USDCHF,20010403,00:00:00,1.7350,1.7009,1.7350,1.7017
USDCHF,20010404,00:00:00,1.7017,1.6885,1.7086,1.6947
USDCHF,20010405,00:00:00,1.6947,1.6836,1.7060,1.7031
USDCHF,20010406,00:00:00,1.7031,1.6898,1.7112,1.6926
USDCHF,20010409,00:00:00,1.6916,1.6904,1.7054,1.7038
